minister,country,startdate,enddate,position
Emile Mabonzot,Congo,2005-01-07,2009-09-15,Industrial Development and Promotion of the Private Sector
Emile Ouosso,Congo,2007-03-03,2009-09-15,Transport and Civil Aviation
Emile Ouosso,Congo,2009-09-15,2016-04-30,Equipment and Public Works
Emile Ouosso,Congo,2016-04-30,2017-08-22,Labour and Social Security
Emile Ouosso,Congo,2017-08-22,2019-12-31,Equipment and Road Maintenance
Emilienne Raoul,Congo,2002-08-18,2007-03-03,"Social Solidarity, Humanitarian Action, Disabled War Veterans, and Family Affairs"
Emilienne Raoul,Congo,2007-03-03,2009-09-15,"Health, Social Affairs, and Family"
Emilienne Raoul,Congo,2009-09-15,2016-04-30,"Social Affairs, Humanitarian action, and Solidarity"
Euloge Landry Kolélas,Congo,2015-08-11,2017-08-22,Commerce and Supplies
Fidèle Dimou,Congo,2017-08-22,2019-12-31,"Transport, Civil Aviation and the Merchant Navy"
Firmin Ayessa,Congo,2017-08-22,2019-12-31,"Vice-Prime Minister and Minister of Civil Service, Labour, Social Security, and State Reform"
Florent Ntsiba,Congo,1997-11-03,2001-05-09,Equipment and Public Works
Florent Ntsiba,Congo,2001-05-09,2002-08-18,"Equipment, Public Works, Reconstruction, and Urban Development"
Florent Ntsiba,Congo,2002-08-18,2009-09-15,Equipment and Public Works
Florent Ntsiba,Congo,2009-09-15,2016-04-30,Labour and Social Security
Florent Ntsiba,Congo,2017-08-22,2019-12-31,Minister without Portfolio
François Ibovi,Congo,1997-11-03,2002-08-18,Communications and Government Spokesman
François Ibovi,Congo,2002-08-18,2007-12-30,Territory Administration and Decentralization
François Ibovi,Congo,2012-09-25,2016-04-30,Health and Population
Fulmin Ayessa,Congo,1999-01-13,2002-08-18,Minister at the Presidency
Gabriel Entcha-Ebia,Congo,2002-08-18,2005-01-07,Civil Service and State Reform
Gabriel Entcha-Ebia,Congo,2005-01-07,2007-03-03,Justice and Human Rights
Gabriel Entcha-Ebia,Congo,2007-03-03,2007-12-30,"Posts and Telecommunications, and New Communication Technologies"
Gabriel Longombe,Congo,2002-08-18,2005-01-07,Minister without Portfolio
Georges Moyen,Congo,2009-09-15,2012-09-25,Health and Population
Georges Moyen,Congo,2012-09-25,2016-04-30,Higher Education
Gerard Bitsindou,Congo,1997-11-03,2002-08-18,State Control
Gilbert Mokoki,Congo,2015-08-11,2016-04-30,Civil Service
Gilbert Mokoki,Congo,2016-04-30,2017-08-22,"Transport, Civil Aviation and the Merchant Navy"
Gilbert Mokoki,Congo,2017-08-22,2019-12-31,Special Economic Zones
Gilbert Ondongo,Congo,2005-01-07,2009-09-15,"Labour, Employment, and Social Security"
Gilbert Ondongo,Congo,2009-09-15,2012-09-25,"Finance, Budget, and Parastatals"
Gilbert Ondongo,Congo,2012-09-25,2015-08-11,"Economy, Finance, Planning, Integration, and Parastatals"
Gilbert Ondongo,Congo,2015-08-11,2016-04-30,"Economy, Finance, Budget, and Parastatals"
Gilbert Ondongo,Congo,2016-04-30,2017-08-22,"Economy, Industrial Development, and Promotion of the Private Sector"
Gilbert Ondongo,Congo,2017-08-22,2019-12-31,"Economy, Industry and Public Portfolio"
Guy Brice Parfait Kolélas,Congo,2007-12-30,2009-09-15,Fishing
Guy Brice Parfait Kolélas,Congo,2009-09-15,2015-08-11,Civil Service and State Reform
Hellot Mampouya Matson,Congo,2007-12-30,2009-09-15,Scientific Research and Technical Innovation
Hellot Mampouya Matson,Congo,2009-09-15,2012-09-25,Fishing
Hellot Mampouya Matson,Congo,2012-09-25,2015-08-11,Primary and Secondary Education in Charge of Literacy
Hellot Mampouya Matson,Congo,2015-08-11,2016-04-30,Posts and Telecommunications
Hellot Mampouya Matson,Congo,2016-04-30,2017-08-22,Scientific Research
Henri Djombo,Congo,1999-01-13,2002-08-18,Forestry in charge of Fisheries and Marine Resources
Henri Djombo,Congo,2002-08-18,2007-03-03,Forest Economy and Environment
Henri Djombo,Congo,2007-03-03,2009-09-15,Forest Economy
Henri Djombo,Congo,2009-09-15,2012-09-25,"Sustainable Development, Forest Economy and the Environment"
Henri Djombo,Congo,2012-09-25,2016-04-30,Sustainable Development and Forest Economy
Henri Djombo,Congo,2016-04-30,2019-12-31,"Agriculture, Livestock, and Fishing"
Henri Ossebi,Congo,2002-08-18,2007-03-03,Higher Education and Scientific Research
Henri Ossebi,Congo,2007-03-03,2009-09-15,Higher Education
Henri Ossebi,Congo,2009-09-15,2011-12-13,Scientific Research
Henri Ossebi,Congo,2011-12-13,2016-04-30,Energy and Hydraulics
Hugues Ngouélondélé,Congo,2017-08-22,2019-12-31,Sports
Ingrid Ebouka-Babackas,Congo,2016-04-30,2017-08-22,Planning and Integration
Ingrid Ebouka-Babackas,Congo,2017-08-22,2019-12-31,"Planning, Statistics and Regional Integration"
Inès Nefer Ingani,Congo,2016-04-30,2017-08-22,Promotion of Women
Isidore Mvouba,Congo,1999-01-13,2002-08-18,Transport and Civil Aviation in charge of Merchant Navy
Isidore Mvouba,Congo,2002-08-18,2005-01-07,Transport and Privatisation in Charge of Government Action Coordination
Isidore Mvouba,Congo,2005-01-07,2007-03-03,Prime Minister and Minister of Privatisation and Transport 
Isidore Mvouba,Congo,2007-03-03,2009-09-15,Prime Minister and Minister of Privatisation
Isidore Mvouba,Congo,2009-09-15,2012-09-25,"Transport, Civil Aviation and the Merchant Navy"
Isidore Mvouba,Congo,2012-09-25,2016-04-30,Industrial Development and Promotion of the Private Sector
Itihi Lekounzou Ossetoumba ,Congo,1999-01-13,2002-08-18,Defence
Jacqueline Lydia Mikolo,Congo,2016-04-30,2017-08-22,Health and Population
Jacqueline Lydia Mikolo,Congo,2017-08-22,2019-12-31,"Health, Population, Promotion of Women and Integration of Women in Development"
Jacques Yvon Ndolou,Congo,2002-08-18,2005-01-07,Defence
Jacques Yvon Ndolou,Congo,2005-01-07,2009-09-15,National Defence and War Veterans
Jacques Yvon Ndolou,Congo,2009-09-15,2011-08-17,Sports
Jean Jacques Bouya,Congo,2012-09-25,2019-12-31,Regional Planning and Planning of large Projects
Jean Martin Mbemba,Congo,1999-01-13,2005-01-07,Justice
Jean Martin Mbemba,Congo,2005-01-07,2009-09-15,Civil Service and State Reform
Jean-Baptiste Tati Loutard,Congo,1997-11-03,2009-09-15,Hydrocarbons
Jean-Claude Gakosso,Congo,2002-08-18,2007-03-03,"Culture, Arts, in charge of Tourism"
Jean-Claude Gakosso,Congo,2007-03-03,2015-08-11,Culture and Arts
Jean-Claude Gakosso,Congo,2015-08-11,2019-12-31,Foreign Affairs and Cooperation
Jean-Felix Demba Delo,Congo,1997-11-03,2005-01-07,Posts and Telecommunications
Jean-Marc Thystère Tchicaya,Congo,2015-08-11,2019-12-31,Hydrocarbons
Jean-Marie Tassoua,Congo,1997-11-03,2002-08-18,Energy and Water Resources
Jeanne Dambendzet,Congo,1999-01-13,2002-08-18,"Civil Service, Administrative Reform and Women Promotion"
Jeanne Dambendzet,Congo,2002-08-18,2005-01-07,"Agriculture, Livestock, Fisheries, and Women Affairs"
Jeanne Dambendzet,Congo,2005-01-07,2007-03-03,"Agriculture, Livestock, Fisheries"
Jeanne Dambendzet,Congo,2007-03-03,2007-12-30,Agriculture and Livestock
Jeanne Dambendzet,Congo,2007-12-30,2009-09-15,"Commerce, Consumption, and Supplies"
Jeanne Francoise Lekomba,Congo,2005-01-07,2011-08-17,Promotion of Women
Josué Rodrigue Ngouonimba,Congo,2012-09-25,2016-04-30,Tourism and Environment
Josué Rodrigue Ngouonimba,Congo,2016-04-30,2017-08-22,Equipment and Road Maintenance
Josué Rodrigue Ngouonimba,Congo,2017-08-22,2019-12-31,"Construction, Town Planning and Housing"
Justin Ballay Megot,Congo,2002-08-18,2005-01-07,"Minister Delegate in the Ministry of Foreign Affairs, Cooperation, and Francophone Affairs in Charge of Development Cooperation and Francophone Affairs"
Justin Ballay Megot,Congo,2005-01-07,2007-03-03,Cooperation and Development
Justin Ballay Megot,Congo,2007-03-03,2009-09-15,Regional Integration and NEPAD
Lamyr Nguele,Congo,2002-08-18,2005-01-07,"Minister Delegate in the Ministry of Construction, Town Planning, Housing, and Land Reform in Charge of Land Reform"
Lamyr Nguele,Congo,2005-01-07,2009-09-15,Land Reform
Louis-Marie Nombo Mavoungou,Congo,2005-01-07,2007-12-30,Maritime Economy and Merchant Navy
Léon Juste Ibombo,Congo,2016-04-30,2019-12-31,Posts and Telecommunications
Léon Raphaël Mokoko,Congo,2015-08-11,2016-04-30,Planning and Integration
Léon-Alfred Opimbat,Congo,1999-01-13,2002-08-18,"Health, Solidarity and Humanitarian Action"
Léon-Alfred Opimbat,Congo,2011-08-17,2017-08-22,Sports
Léonidas Mottom,Congo,2016-04-30,2017-08-22,Culture and Arts
Madeleine Yila Boumpoto,Congo,2011-08-17,2012-09-25,Promotion of Women
Mambou Elie Niamy,Congo,1999-01-13,2002-08-18,"Culture, Arts, in charge of Tourism"
Marcel Mbani,Congo,2002-08-18,2007-12-30,Youth and Sports
Martin Mberi,Congo,1999-01-13,2001-05-09,Reconstruction and Urban Development
Martin Parfait Aimé Coussoud-Mavoungou,Congo,2015-08-11,2016-04-30,Special Economic Zones
Martin Parfait Aimé Coussoud-Mavoungou,Congo,2016-04-30,2017-08-22,Land Affairs
Martin Parfait Aimé Coussoud-Mavoungou,Congo,2017-08-22,2019-12-31,Scientific Research
Mathias Dzon,Congo,1997-11-03,2002-08-18,Finance and Budget
Mathieu Martial Kani,Congo,2009-09-15,2012-09-25,Tourism
Michel Mampoya,Congo,1999-01-13,2002-08-18,Industry and Environment
Nicéphore Fylla de Saint-Eudes,Congo,2016-04-30,2019-12-31,Technical Education and Professional Training
Nkoua Celestin Gongara,Congo,1997-11-03,2002-08-18,Agriculture and Livestock
Pacifique Issoibeka,Congo,2005-01-07,2009-09-15,"Economy, Finance, and Budget"
Parfait Aimé Coussoud-Mavoungou,Congo,2005-01-07,2007-12-30,Small and Medium Enterprises and Handicrafts
Parfait Aimé Coussoud-Mavoungou,Congo,2007-12-30,2009-09-15,Maritime Economy and Merchant Navy
Paul Mbot,Congo,2005-01-07,2009-09-15,Security and Public Order
Philippe Mvouo,Congo,2002-08-18,2005-01-07,"Mines, Energy, and Hydraulics"
Philippe Mvouo,Congo,2005-01-07,2007-03-03,Posts and Telecommunications
Philippe Mvouo,Congo,2007-03-03,2007-12-30,Fishing
Pierre Damien Boussoukou Boumba,Congo,1999-01-13,2002-08-18,"Trade and Supply, Small and Medium Enterprises in charge of Handicrafts"
Pierre Ernest Abandzounou,Congo,2005-01-07,2007-12-30,Scientific Research and Technical Innovation
Pierre Mabiala,Congo,2009-09-15,2016-04-30,Land Affairs
Pierre Mabiala,Congo,2016-04-30,2017-08-22,"Justice, Human Rights and Promotion of Indigenous Peoples"
Pierre Mabiala,Congo,2017-08-22,2019-12-31,Land Affairs
Pierre Moussa,Congo,1997-11-03,2002-08-18,Territorial and Regional Development
Pierre Moussa,Congo,2002-08-18,2007-03-03,"Planning, Territory Improvement, and Economic Integration"
Pierre Moussa,Congo,2007-03-03,2009-09-15,Planning and Territory Improvement
Pierre Moussa,Congo,2009-09-15,2012-09-25,"Economy, Planning, Regional Planning and Integration"
Pierre Nzila,Congo,1999-01-13,2002-08-18,"Primary, Secondary and Higher Education, in charge of Scientific Research"
Pierre Oba,Congo,1997-11-03,2005-01-07,"Interior, Security and Territorial Administration"
Pierre Oba,Congo,2005-01-07,2019-12-31,Mines and Mineral Industry
Pierre-Michel Nguimbi,Congo,2002-08-18,2009-09-15,Technical Education and Professional Training
Raymond Zéphirin Mboulou,Congo,2007-12-30,2016-04-30,Territory Administration and Decentralization
Raymond Zéphirin Mboulou,Congo,2016-04-30,2017-08-22,"Interior, Decentralization, and Local Development"
Raymond Zéphirin Mboulou,Congo,2017-08-22,2019-12-31,Interior and Decentralization
Rigobert Maboundou,Congo,2007-12-30,2016-04-30,Agriculture and Livestock
Rodolphe Adada,Congo,1997-11-03,2007-03-03,Foreign Affairs and Cooperation
Rodolphe Adada,Congo,2007-03-03,2007-05-31,Foreign Affairs and Francophonie
Rodolphe Adada,Congo,2009-09-15,2012-09-25,Industrial Development and Promotion of the Private Sector
Rodolphe Adada,Congo,2012-09-25,2016-04-30,"Transport, Civil Aviation and the Merchant Navy"
Roger Rigobert Andely,Congo,2002-08-18,2005-01-07,"Economy, Finance, and Budget"
Rosalie Kama Niamayoua,Congo,2002-08-18,2012-09-25,Primary and Secondary Education in Charge of Literacy
Rosalie Matondo,Congo,2016-04-30,2017-08-22,Sustainable Development and Forest Economy
Rosalie Matondo,Congo,2017-08-22,2019-12-31,Forest Economy
Serge Blaise Zoniaba,Congo,2012-09-25,2016-04-30,Technical Education and Professional Training
Serge Blaise Zoniaba,Congo,2016-04-30,2019-12-31,Energy and Hydraulics
Serge Michel Odzocki,Congo,2007-12-30,2009-09-15,Youth and Sports
Simon Mfoutou,Congo,2002-08-18,2005-01-07,State Control
Thierry Lézin Moungalla,Congo,2007-12-30,2015-08-11,"Posts and Telecommunications, and New Communication Technologies"
Thierry Lézin Moungalla,Congo,2015-08-11,2019-12-31,"Communications, Media, and Relations with the Parliament"
Thomas Dello,Congo,2002-08-18,2005-01-07,Government Secretary General
Yvonne-Adélaïde Moundélé-Ngollo,Congo,2002-08-18,2007-12-30,"Commerce, Consumption, and Supplies"
Yvonne-Adélaïde Moundélé-Ngollo,Congo,2007-12-30,2019-12-31,Small and Medium Enterprises and Handicrafts
Zacharie Kimpomi,Congo,2009-09-15,2011-08-17,Civic Education and Youth
