minister,country,startdate,enddate,position
Aime Emmanuel Yoka,Congo,2007-03-03,2016-04-30,Justice and Human Rights
Aimé Ange Wilfrid Bininga,Congo,2016-04-30,2017-08-22,Civil Service
Aimé Ange Wilfrid Bininga,Congo,2017-08-22,2019-12-31,"Justice, Human Rights and Promotion of Indigenous Peoples"
Alain Akouala Atipault,Congo,2002-08-18,2005-01-07,Communications and Government Spokesman
Alain Akouala Atipault,Congo,2007-03-03,2009-09-15,Communications and Relations with the Parliament
Alain Akouala Atipault,Congo,2009-09-15,2015-08-11,Special Economic Zones
Alain Akouala Atipault,Congo,2016-04-30,2017-08-22,Special Economic Zones
Alain Moka,Congo,2002-08-18,2005-01-07,Health and Population
Alphonse Gando,Congo,2005-01-07,2007-03-03,Health and Population
Alphonse Mbama,Congo,1999-01-13,2002-08-18,Industrial Development
Anatole Collinet Makosso,Congo,2011-08-17,2015-08-11,Civic Education and Youth
Anatole Collinet Makosso,Congo,2015-08-11,2019-12-31,"Primary and Secondary Education, Civic Education, and Youth"
Andre Okombi Salissan,Congo,1999-01-13,2002-08-18,"Civic Education, Sports, Vocational and Technical Education, and Youth"
Andre Okombi Salissan,Congo,2002-08-18,2005-01-07,"Labour, Employment, and Social Security"
Andre Okombi Salissan,Congo,2005-01-07,2007-03-03,Transport and Civil Aviation
Andre Okombi Salissan,Congo,2007-03-03,2009-09-15,Tourism and Environment
Andre Okombi Salissan,Congo,2009-09-15,2012-09-25,Technical Education and Professional Training
André Raphaël Loemba,Congo,2009-09-15,2015-08-11,Hydrocarbons
Ange Antoine Abena,Congo,2009-09-15,2012-09-25,Higher Education
Antoinette Dinga-Dzondo,Congo,2016-04-30,2019-12-31,"Social Affairs, Humanitarian action, and Solidarity"
Arlette Soudan-Nonault,Congo,2016-04-30,2017-08-22,Tourism
Arlette Soudan-Nonault,Congo,2017-08-22,2019-12-31,Tourism and Environment
Basile Ikouébé,Congo,2007-05-31,2015-08-11,Foreign Affairs and Francophonie
Bernard Tchibambelela,Congo,2012-09-25,2016-04-30,Fishing
Bienvenu Okiemy,Congo,2009-09-15,2015-08-11,Communications and Relations with the Parliament
Bienvenu Okiemy,Congo,2015-08-11,2016-04-30,Culture and Arts
Bruno Jean-Richard Itoua,Congo,2005-01-07,2011-12-13,Energy and Hydraulics
Bruno Jean-Richard Itoua,Congo,2011-12-13,2016-04-30,Scientific Research
Bruno Jean-Richard Itoua,Congo,2016-04-30,2019-12-31,Higher Education
Calixte Nganongo,Congo,2016-04-30,2017-08-22,"Finance, Budget and Public Portfolio"
Calixte Nganongo,Congo,2017-08-22,2019-12-31,Finance and Budget
Catherine Embondza,Congo,2012-09-25,2016-04-30,Promotion of Women
Charles Richard Mondjo,Congo,2012-09-25,2019-12-31,National Defence
Charles Zacharie Bowao,Congo,2007-03-03,2009-09-15,"Cooperation, Humanitarian action, and Solidarity"
Charles Zacharie Bowao,Congo,2009-09-15,2012-09-25,National Defence
Claude Alphonse Nsilou,Congo,2002-08-18,2017-08-22,"Construction, Town Planning and Housing"
Claude Alphonse Nsilou,Congo,2017-08-22,2019-12-31,"Commerce, Supply and Consumption"
Claudine Munari,Congo,2009-09-15,2015-08-11,Commerce and Supplies
Clément Mouamba,Congo,2016-04-30,2019-12-31,Prime Minister
Dambert Ndouane,Congo,1999-01-13,2002-08-18,Labour and Social Security
Denis Sassou-Nguesso,Congo,1999-01-13,2019-12-31,Head of State
Destinée Doukaga,Congo,2016-04-30,2019-12-31,Civic Education and Youth
Dieudonné Moyongo,Congo,2017-08-22,2019-12-31,Culture and Arts
Emile Mabonzot,Congo,2002-08-18,2005-01-07,"Industrial Development, Small and Medium Enterprises and Handicrafts"
