@@,item,name,positionitem,position,start,end
+++,Q112133372,Adoracion Salas Chonco,Q112162674,Fishing and Water Resources,2018-02-06,2019-12-31
+++,Q24574730,Agapito Mba Mokuy,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2012-05-22,2018-02-06
+++,Q112162957,Alejandro Bacale Ncogo,Q111021195,Defence,2018-02-06,2019-12-31
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162678,Missions,1989-11-25,2019-12-31
+++,Q112128551,Alfonso Nsue Mokuy,Q112128225,"Information, Tourism and Culture",2004-06-15,2006-08-22
+++,Q112128551,Alfonso Nsue Mokuy,Q112162663,Minister at the Presidency,2006-08-22,2008-07-15
+++,Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister in charge of Human Rights Affairs,2015-04-15,2019-12-31
+++,Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister in charge of Social and Human Rights Affairs,2012-05-22,2015-04-15
+++,Q112133375,Alfredo Mitogo Mitogo,Q111021197,Agriculture and Forests,2013-09-04,2015-04-15
+++,Q112133375,Alfredo Mitogo Mitogo,Q112162696,Trade and Business Promotion,2015-04-15,2016-06-24
+++,Q112133227,Anastasio Asumu Mum Munoz,Q112162674,Fishing and Environment,2008-07-15,2012-05-22
+++,Q112162959,Andrés Jorge Mbomio Nsem Abu,Q112162699,Youth and Sports,2015-04-15,2017-06-13
+++,Q112128540,Angel Masie Mibuy,Q111021203,Justice and Penitentiary Institutions,2004-06-15,2006-08-22
+++,Q112128540,Angel Masie Mibuy,Q112162690,Relations with Parliament and Legal Affairs of the Government,2006-08-22,2016-06-24
+++,Q112128540,Angel Masie Mibuy,Q112162701,Vice-Prime Minister in charge of Parliamentary Relations and Judicial Affairs,2016-06-24,2019-12-31
+++,,Angel Serafin Seriche Dugan,Q2351213,Prime Minister,1996-03-25,2001-02-23
+++,Q112162960,Aniceto Ebiaka Muete,Q112162698,Urban Planning and Infrastructure,2004-06-15,2006-08-22
+++,Q112162960,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister in charge of Economy and Finance,2008-07-15,2012-05-22
+++,Q112162960,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister in charge of Human Rights,2006-08-22,2008-07-15
+++,Q112162961,Anselmo Ondo Eseno,Q111021199,"Education, Science and Sport",2008-07-15,2010-01-12
+++,Q112128529,Antonio Fernando Nve Ngu,Q111021199,Education and Science,2003-02-11,2004-06-15
+++,Q112128529,Antonio Fernando Nve Ngu,Q111021199,Education and Science,2001-03-09,2003-02-11
+++,Q112128529,Antonio Fernando Nve Ngu,Q112162680,"Parliament Relations, Juridical Affairs and Government Spokesman",1999-07-22,2001-03-09
+++,Q112162962,Antonio Martin Ndong Ntutumu,Q112162665,Administrative Coordination and Relations with Parliament,2004-06-15,2006-08-22
+++,Q112162962,Antonio Martin Ndong Ntutumu,Q111020058,Health and Social Welfare,2006-08-22,2008-07-15
+++,Q63731266,Antonio Mba Nguema,Q111021195,Defence,2004-06-15,2016-06-24
+++,Q63731266,Antonio Mba Nguema,Q112162684,Presidential Security,2016-06-24,2019-12-31
+++,Q112162963,Antonio Nve Nseng,Q112162681,Planning and Economic Development,2003-02-11,2004-06-15
+++,Q112162965,Antonio Pedro Olivera Boropu,Q112162696,Trade,2016-06-24,2018-02-06
+++,Q112128507,Atanasio Ela Ntugu Nsa,Q112162677,"Mines, Industry and Energy",2004-06-15,2008-07-15
+++,Q112162966,Augustin Nse Nfumu,Q112128225,"Information, Press, and Radio",2012-05-22,2013-09-04
+++,Q112162966,Augustin Nse Nfumu,Q112128225,"Information, Tourism and Culture",2003-02-11,2004-06-15
+++,Q112162967,Baltasar Engonga Edjo,Q111021198,Economy and Finance,2001-03-09,2004-06-15
+++,Q112162967,Baltasar Engonga Edjo,Q112162689,Regional Integration,2006-02-14,2019-12-31
+++,Q112162968,Baltasar Esono Oworo Nfono,Q112162700,Minister without Portfolio,2016-06-24,2019-12-31
+++,Q112162969,Braulio Ncogo Abegue,Q112162669,Civil Cabinet,2008-07-15,2016-06-24
+++,Q1149802,Candido Muatetema Rivas,Q2351213,Prime Minister,2001-02-26,2004-06-15
+++,Q112162970,Carmelo Modu Acusé Bindang,Q111021201,"Industry, Commerce and Small and Medium Enterprises",2003-02-11,2004-06-15
+++,Q112162970,Carmelo Modu Acusé Bindang,Q112162681,Planning and Economic Development,2004-06-15,2006-08-22
+++,Q112162970,Carmelo Modu Acusé Bindang,Q112162683,Political and Administrative Affairs,2006-08-22,2008-07-15
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q111021198,"Economy, Commerce, and Business Promotion",2012-05-22,2013-09-04
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q111021204,"Labour, Employment Promotion and Social Security",2018-02-06,2019-12-31
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q112162696,Trade and Business Promotion,2013-09-04,2015-04-15
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q112162697,Transport and Posts,2016-06-24,2018-02-06
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q112162697,"Transport, Technology, and Posts and Telecommunications",2015-04-15,2016-06-24
+++,Q112162972,Clemente Engonga Nguema Andeme,Q111021202,Interior and Local Corporations,2001-03-09,2012-05-22
+++,Q112162972,Clemente Engonga Nguema Andeme,Q111021199,"Vice-Prime Minister and Minister for Education, University Teaching and Sports",2019-04-10,2019-12-31
+++,Q112162972,Clemente Engonga Nguema Andeme,Q112162701,"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations",2012-05-22,2019-04-10
+++,Q112133387,Conrado Okenve Ndoho,Q111021198,"Economy, Planning and Public Investment",2013-09-04,2015-04-15
+++,Q112133387,Conrado Okenve Ndoho,Q112162681,"Planning, Economic Development, and Public Investment",2012-05-22,2013-09-04
+++,Q112162973,Constantino Ekong Zue,Q111021201,"Industry, Commerce and Small and Medium Enterprises",1999-07-22,2003-02-11
+++,Q112133389,Consuelo Ondo Nsang,Q112162691,Social Affairs and Gender Equality,2015-04-15,2018-02-06
+++,Q112162975,Crescencio Tamarite Castano,Q112162674,Fishing and Environment,2012-05-22,2015-04-15
+++,Q112128524,Cristobal Menana Ela,Q111021199,"Education, Science and Sport",2004-06-15,2008-07-15
+++,Q112128524,Cristobal Menana Ela,Q112162677,Mines and Energy,1999-07-22,2004-06-15
+++,Q112162550,Cándido Nsue Okomo,Q112162699,Youth and Sports,2017-06-13,2018-02-06
+++,Q112162976,César Augusto Mba Abogo,Q111021200,"Finance, Economy and Planning",2019-04-10,2019-12-31
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q111021204,Labour and Social Security,2006-06-15,2006-08-22
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162697,"Transport, Technology, and Posts and Telecommunications",2004-06-15,2006-06-15
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister and Minister of Interior and Local Corporations,1999-07-22,2001-02-26
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister in charge of Domestic Policy,2003-02-11,2004-06-15
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister in charge of Domestic Policy,2006-08-22,2011-02-19
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,"Vice-Prime Minister in charge of Domestic Policy, Urban Planning and Infrastructure",2011-02-19,2012-05-22
---,Q57418,Denis Sassou-Nguesso,Q10353660,President of the Republic of the Congo,1997-10-25,
+++,Q112162977,Diosdado Nsue Medja,Q111021205,"Public Works, Housing, and Town Planning",2018-02-06,2019-12-31
+++,Q112162978,Diosdado Vicente Nsue Milan,Q111020058,Health and Social Welfare,2013-09-04,2016-06-24
+++,Q112133587,Enrique Mercader Costa,Q111021204,Labour and Social Security,2004-06-15,2006-06-15
+++,Q112133587,Enrique Mercader Costa,Q112162697,"Transport, Technology, and Posts and Telecommunications",2006-06-15,2010-01-12
+++,Q112162980,Estanislao Don Malavo,Q111021200,Finance and Budget,2008-07-15,2010-01-12
+++,Q112162980,Estanislao Don Malavo,Q112162674,Fishing and Environment,2015-04-15,2016-06-24
+++,Q112162980,Estanislao Don Malavo,Q112162674,Fishing and Water Resources,2016-06-24,2018-02-06
+++,Q112162980,Estanislao Don Malavo,Q111021204,Labour and Social Security,2010-01-12,2012-05-22
+++,Q112133244,Eucario Bakale Angüe,Q111021198,"Economy, Planning and Public Investment",2015-04-15,2018-02-06
+++,Q112133244,Eucario Bakale Angüe,Q112162686,Public Administration and Administrative Reform,2019-04-10,2019-12-31
+++,Q112133244,Eucario Bakale Angüe,Q112162697,"Transport, the Postal Service and Telecommunications",2018-02-06,2019-04-10
+++,Q112162981,Eugenio Edu Ndong,Q111021201,Industry and Energy,2016-06-24,2018-02-06
+++,Q112133750,Eugenio Nse Obiang,Q112128225,"Information, Press, and Radio",2015-04-15,2019-12-31
+++,Q112133557,Eulalia Envo Bela,Q112162691,Social Affairs and Promotion of Women,2006-08-22,2012-05-22
+++,Q42907516,Evangelina Oyo Ebule,Q111021203,"Justice, Religion, and Penitentiary Institutions",2013-09-04,2018-02-06
+++,Q42907516,Evangelina Oyo Ebule,Q111021204,Labour and Social Security,2006-08-22,2008-07-15
